"","Gender","Location","Age","ss","sj","st","sd","so"
"134","M","A","T",8,50,92,12,50
"135","M","A","T",52,12,48,8,37
"136","M","A","T",65,25,35,1,41
"137","M","A","T",12,93,88,20,64
"138","M","A","T",18,15,82,72,39
"139","M","A","T",10,65,90,25,55
"140","M","A","T",48,85,52,25,61
"141","M","A","T",53,88,47,31,62
"142","M","A","T",4,12,96,66,38
"143","M","A","T",82,78,18,17,59
"144","M","A","T",30,18,70,25,39
"145","M","A","T",53,50,47,39,50
"146","M","A","T",30,6,70,14,35
"147","M","A","T",13,40,87,38,47
"148","M","A","T",72,97,28,32,65
"149","M","A","T",1,30,99,73,44
"150","M","A","T",39,46,61,26,48
"151","M","A","T",42,40,58,0,46
"152","M","A","T",64,27,36,21,42
"153","M","A","T",88,75,12,27,58
"154","M","A","T",63,14,37,12,38
"155","M","A","T",22,44,78,37,48
"156","M","A","T",9,72,91,71,57
"157","M","A","T",32,53,68,64,51
"158","M","A","T",95,70,5,75,57
"159","M","A","T",51,50,49,38,50
"160","M","A","T",98,98,2,3,65
"161","M","A","T",34,19,66,70,40
"162","M","A","T",85,91,15,31,63
"163","M","A","T",44,48,56,44,49
"164","M","A","T",85,46,15,56,49
"165","M","A","T",33,1,67,9,33
"166","M","A","T",87,31,13,10,43
"167","M","A","T",43,72,57,51,57
"168","M","A","T",18,9,82,35,36
"169","M","A","T",87,93,13,35,64
"170","M","A","T",49,8,51,56,36
"171","M","A","T",18,17,82,58,39
"172","M","A","T",85,14,15,6,38
"173","M","A","T",39,50,61,17,50
"174","M","A","T",65,100,35,3,66
"175","M","A","T",52,31,48,31,44
"176","M","A","T",93,69,7,23,56
"177","M","A","T",10,64,90,66,55
"178","M","A","T",66,76,34,12,58
"179","M","A","T",33,99,67,22,66
"180","M","A","T",95,7,5,57,36
"181","M","A","T",93,2,7,27,34
"182","M","A","T",30,40,70,7,46
"183","M","A","T",18,40,82,32,47
"184","M","A","T",83,17,17,18,39
"185","M","A","T",73,91,27,55,64
"186","M","A","T",55,76,45,6,58
"187","M","A","T",22,86,78,23,62
"188","M","A","T",4,23,96,29,41
"189","M","A","T",95,31,5,16,43
"190","M","A","T",20,18,80,32,39
"191","M","A","T",81,2,19,72,34
"192","M","A","T",44,68,56,60,56
"193","M","A","T",91,74,9,32,58
"194","M","A","T",57,23,43,49,41
"195","M","A","T",47,79,53,22,59
"196","M","A","T",42,27,58,34,42
"197","M","A","T",71,63,29,51,54
"198","M","A","T",10,11,90,26,37
"199","M","A","T",99,93,1,24,64
"200","M","A","T",56,34,44,27,44
"201","M","A","T",14,86,86,51,62
"202","M","A","T",73,77,27,5,58
"203","M","A","T",68,77,32,34,59
"204","M","A","T",62,82,38,22,60
"205","M","A","T",16,4,84,74,35
"206","M","A","T",5,77,95,20,59
"207","M","A","T",19,53,81,47,51
"208","M","A","T",54,69,46,41,56
"209","M","A","T",75,74,25,44,58
"210","M","A","T",88,43,12,37,48
"211","M","A","T",30,69,70,34,56
"212","M","A","T",80,99,20,0,66
"213","M","A","T",58,36,42,14,45
"214","M","A","T",91,64,9,51,55
"215","M","A","T",94,46,6,53,49
"216","M","A","T",89,59,11,25,53
"217","M","A","T",6,60,94,67,53
"218","M","A","T",58,21,42,56,40
"219","M","A","T",57,68,43,7,56
"220","M","A","T",30,68,70,5,55
"221","M","A","T",73,4,27,7,34
"222","M","A","T",5,51,95,73,51
"223","M","A","T",7,48,93,9,49
"224","M","A","T",32,25,68,74,42
"225","M","A","T",55,55,45,69,52
"226","M","A","T",70,80,30,24,60
"227","M","A","T",70,28,30,57,43
"228","M","A","T",8,97,92,72,66
"229","M","A","T",78,13,22,58,38
"230","M","A","T",33,89,67,78,63
"231","M","A","T",95,72,5,22,57
"232","M","A","T",24,78,76,38,59
"233","M","A","T",64,86,36,41,62
"234","M","A","T",79,23,21,75,41
"235","M","A","T",29,24,71,42,41
"236","M","A","T",33,7,67,27,36
"237","M","A","T",34,43,66,40,48
"238","M","A","T",56,61,44,44,54
"239","M","A","T",35,37,65,24,45
"240","M","A","T",77,4,23,10,34
"241","M","A","T",22,67,78,38,55
"242","M","A","T",99,55,1,26,51
"243","M","A","T",45,55,55,61,52
"244","M","A","T",48,0,52,77,34
"245","M","A","T",92,14,8,72,38
"246","M","A","T",96,60,4,74,54
"247","M","A","T",61,9,39,34,36
"248","M","A","T",31,100,69,47,66
"249","M","A","T",7,90,93,28,63
"250","M","A","T",91,95,9,48,65
"251","M","A","U",65,15,35,78,39
"252","M","A","U",12,59,88,60,53
"253","M","A","U",47,32,53,45,44
"254","M","A","U",44,84,56,10,61
"255","M","A","U",72,96,28,22,65
"256","M","A","U",24,36,76,46,45
"257","M","A","U",51,94,49,58,65
"258","M","A","U",32,19,68,32,40
"259","M","A","U",74,57,26,43,52
"260","M","A","U",99,42,1,36,47
"261","M","A","U",91,71,9,30,57
"262","M","A","U",12,64,88,1,54
"263","M","A","U",94,28,6,48,43
"264","M","A","U",10,17,90,22,39
"265","M","A","U",95,48,5,35,49
"266","M","A","U",86,70,14,55,57
"267","M","A","U",3,53,97,5,51
"268","M","A","U",9,49,91,0,49
"269","M","A","U",21,67,79,8,55
"270","M","A","U",80,56,20,10,52
"271","M","A","U",20,86,80,4,61
"272","M","A","U",33,36,67,64,46
"273","M","A","U",34,42,66,7,47
"274","M","A","U",2,65,98,31,55
"275","M","A","U",55,57,45,25,52
"276","M","A","U",70,15,30,44,38
"277","M","A","U",45,22,55,77,41
"278","M","A","U",37,79,63,41,59
"279","M","A","U",24,58,76,62,53
"280","M","A","U",11,92,89,80,64
"281","M","A","U",73,36,27,57,45
"282","M","A","U",96,63,4,51,54
"283","M","A","U",97,27,3,16,42
"284","M","A","U",75,9,25,21,36
"285","M","A","U",83,84,17,36,61
"286","M","A","U",66,62,34,30,54
"287","M","A","U",24,38,76,18,46
"288","M","A","U",13,99,87,11,66
"289","M","A","U",75,100,25,10,66
"290","M","A","U",7,89,93,60,63
"291","M","A","U",80,68,20,37,56
"292","M","A","U",58,91,42,75,64
"293","M","A","U",74,34,26,53,45
"294","M","A","U",12,8,88,59,36
"295","M","A","U",2,49,98,65,50
"296","M","A","U",50,61,50,72,54
"297","M","A","U",36,29,64,63,43
"298","M","A","U",74,22,26,8,40
"299","M","A","U",2,38,98,22,46
"300","M","A","U",93,96,7,70,65
"301","M","A","U",94,56,6,55,52
"302","M","A","U",7,22,93,58,41
"303","M","A","U",91,38,9,78,46
"304","M","A","U",73,85,27,26,61
"305","M","A","U",6,92,94,54,64
"306","M","A","U",50,78,50,39,59
"307","M","A","U",29,34,71,25,44
"308","M","A","U",27,56,73,10,52
"309","M","A","U",47,36,53,5,45
"310","M","A","U",30,33,70,15,44
"311","M","A","U",70,23,30,8,41
"312","M","A","U",12,27,88,49,42
"313","M","A","U",48,63,52,50,54
"314","M","A","U",26,69,74,56,56
"315","M","A","U",56,47,44,79,49
"316","M","A","U",39,44,61,56,48
"317","M","A","U",36,63,64,27,54
"318","M","A","U",70,65,30,41,55
"319","M","A","U",68,99,32,45,66
"320","M","A","U",70,47,30,46,49
"321","M","A","U",77,98,23,48,66
"322","M","A","U",11,86,89,77,62
"323","M","A","U",40,98,60,7,65
"324","M","A","U",1,70,99,33,56
"325","M","A","U",1,79,99,19,59
"326","M","A","U",82,31,18,12,43
"327","M","A","U",48,98,52,8,65
"328","M","A","U",52,97,48,18,65
"329","M","A","U",64,71,36,62,57
"330","M","A","U",33,13,67,1,37
"331","M","A","U",15,41,85,43,47
"332","M","A","U",17,96,83,12,65
"333","M","A","U",4,72,96,25,57
"334","M","A","U",10,39,90,67,47
"335","M","A","U",79,17,21,59,39
"336","M","A","U",69,48,31,30,49
"337","M","A","U",38,87,62,74,62
"338","M","A","U",93,26,7,69,42
"339","M","A","U",45,15,55,3,38
"340","M","A","U",88,68,12,42,56
"341","M","A","U",97,48,3,23,49
"342","M","A","U",34,79,66,27,59
"343","M","A","U",38,68,62,76,56
"344","M","A","U",83,15,17,27,38
"345","M","A","U",48,59,52,15,53
"346","M","A","U",44,25,56,55,42
"347","M","A","U",94,10,6,46,37
"348","M","A","U",54,93,46,54,64
"349","M","A","U",33,79,67,66,60
"350","M","A","U",35,17,65,51,39
"351","M","A","U",78,52,22,76,51
"352","M","A","U",2,37,98,20,45
"353","M","A","U",34,59,66,15,53
"354","M","A","U",6,78,94,76,60
"355","M","A","U",46,64,54,73,55
"356","M","A","U",8,97,92,29,65
"357","M","A","U",70,30,30,46,43
"358","M","A","U",59,40,41,56,47
"359","M","A","U",50,68,50,16,56
"360","M","A","U",93,17,7,1,39
"361","M","A","U",31,86,69,31,62
"362","M","A","U",13,15,87,79,39
"363","M","A","U",8,63,92,75,55
"364","M","A","U",43,27,57,67,43
"365","M","A","U",25,97,75,45,65
"366","M","A","U",11,8,89,72,36
"367","M","A","U",89,62,11,1,53
"368","M","A","U",44,42,56,60,47
"369","M","A","U",85,4,15,51,35
"370","M","A","U",4,26,96,31,42
"371","M","A","U",63,40,37,30,46
"372","M","A","U",80,66,20,4,55
"373","M","A","U",63,93,37,3,64
"374","M","A","U",91,3,9,65,35
"375","M","A","U",34,39,66,46,46
"376","M","A","U",12,28,88,57,43
"377","M","A","U",44,92,56,49,64
"378","M","A","U",99,24,1,38,41
"379","M","A","U",77,57,23,55,52
"380","M","A","U",1,55,99,11,51
"381","M","A","U",82,92,18,17,64
"382","M","A","U",81,14,19,14,38
"383","M","A","U",41,44,59,57,48
"384","M","A","U",66,4,34,25,35
"385","M","A","U",24,12,76,18,37
"386","M","A","U",19,82,81,21,60
"387","M","A","U",13,20,87,65,40
"388","M","A","U",52,31,48,64,44
"389","M","A","U",0,24,100,43,41
"390","M","A","U",96,91,4,78,64
"391","M","A","U",29,19,71,55,40
"392","M","A","U",74,39,26,66,47
"393","M","A","U",29,24,71,46,41
"394","M","A","U",61,84,39,64,61
"395","M","A","U",64,41,36,25,47
"396","M","A","U",93,91,7,68,64
"397","M","A","U",45,97,55,46,65
"398","M","A","U",45,6,55,18,35
"399","M","A","U",20,66,80,63,55
"400","M","A","U",47,77,53,33,59
"401","M","A","U",92,75,8,45,58
"402","M","A","U",94,96,6,48,65
"403","M","A","U",74,23,26,65,41
"404","M","A","U",35,18,65,45,39
"405","M","A","U",48,89,52,64,63
"406","M","A","U",75,65,25,38,55
"407","M","A","U",3,36,97,43,45
"408","M","A","U",55,77,45,52,59
"409","M","A","U",19,48,81,21,49
"410","M","A","U",13,18,87,49,39
"411","M","A","U",82,92,18,51,64
"412","M","A","U",42,41,58,76,47
"413","M","A","U",84,90,16,65,63
"414","M","A","U",97,83,3,65,61
"415","M","A","U",17,99,83,46,66
"416","M","A","U",70,65,30,22,55
"417","M","A","U",88,23,12,60,41
"418","M","A","U",67,46,33,57,49
"419","M","A","U",20,37,80,63,46
"420","M","A","U",73,26,27,68,42
"421","M","A","U",51,18,49,29,39
"422","M","A","U",43,92,57,52,64
"423","M","A","U",13,34,87,27,44
"424","M","A","U",97,20,3,52,40
"425","M","A","U",74,98,26,11,65
"426","M","A","U",86,55,14,60,52
"427","M","A","U",8,67,92,15,55
"428","M","A","U",72,16,28,62,39
"429","M","A","U",48,46,52,9,48
"430","M","A","U",24,89,76,36,63
"431","M","A","U",19,53,81,56,51
"432","M","A","U",58,82,42,47,61
"433","M","A","U",10,22,90,38,41
"434","M","A","U",28,17,72,21,39
"435","M","A","U",60,63,40,68,54
"436","M","A","U",3,73,97,6,57
"437","M","A","U",81,16,19,18,38
"438","M","A","U",46,62,54,56,54
"439","M","A","U",80,5,20,79,35
"440","M","A","U",75,29,25,19,43
"441","M","A","U",71,83,29,34,61
"442","M","A","U",64,68,36,27,56
"443","M","A","U",55,32,45,60,44
"444","M","A","U",19,15,81,1,38
"445","M","A","U",16,28,84,51,43
"446","M","A","U",41,68,59,37,56
"447","M","A","U",9,36,91,73,46
"448","M","A","U",11,47,89,21,49
"449","M","A","U",36,78,64,69,59
"450","M","A","U",70,35,30,68,45
"451","M","A","U",39,46,61,8,48
"452","M","A","U",23,0,77,22,33
"453","M","A","U",93,56,7,39,52
"454","M","A","U",40,16,60,77,39
"455","M","A","U",62,58,38,55,53
"456","M","A","U",33,38,67,35,46
"457","M","A","U",40,1,60,46,34
"458","M","A","U",55,52,45,78,51
"459","M","A","U",9,89,91,10,62
"460","M","A","U",37,30,63,61,44
"461","M","A","U",9,51,91,55,50
"462","M","A","U",90,95,10,67,65
"463","M","A","U",73,86,27,17,62
"464","M","A","U",48,22,52,55,41
"465","M","A","U",33,1,67,26,34
"466","M","A","U",41,80,59,24,60
"467","M","A","U",26,60,74,2,53
"468","M","A","U",12,63,88,42,54
"469","M","A","U",63,85,37,44,61
"470","M","A","U",19,42,81,30,47
"471","M","A","U",65,49,35,78,50
"472","M","A","U",92,78,8,51,59
"473","M","A","U",46,18,54,40,39
"474","M","A","U",69,87,31,31,62
"475","M","A","U",66,40,34,51,47
"476","M","A","U",80,24,20,18,41
"477","M","A","U",56,21,44,63,41
"478","M","A","U",1,39,99,65,47
"479","M","A","U",14,9,86,6,36
"480","M","A","U",71,42,29,73,48
"481","M","A","U",73,17,27,58,39
"482","M","A","U",74,51,26,10,50
"483","M","A","U",18,81,82,62,60
"484","M","A","U",34,16,66,6,38
"485","M","A","U",85,18,15,66,40
"486","M","A","U",26,46,74,60,49
"487","M","A","U",94,78,6,5,59
"488","M","A","U",22,1,78,66,34
"489","M","A","U",67,99,33,42,66
"490","M","A","U",74,99,26,56,66
"491","M","A","U",1,76,99,77,59
"492","M","A","U",88,31,12,70,44
"493","M","A","U",96,2,4,53,34
"494","M","A","U",47,8,53,23,36
"495","M","A","U",57,8,43,9,36
"496","M","A","U",88,92,12,33,64
"497","M","A","U",86,37,14,39,46
"498","M","A","U",88,20,12,35,40
"499","M","A","U",71,14,29,67,38
"500","M","A","U",68,63,32,29,54
"501","M","A","L",52,38,48,34,46
"502","M","A","L",49,99,51,59,66
"503","M","A","L",50,5,50,0,35
"504","M","A","L",71,10,29,61,37
"505","M","A","L",95,89,5,37,63
"506","M","A","L",98,92,2,53,64
"507","M","A","L",40,78,60,41,59
"508","M","A","L",5,83,95,42,61
"509","M","A","L",30,97,70,17,65
"510","M","A","L",41,12,59,73,38
"511","M","A","L",74,46,26,32,48
"512","M","A","L",18,73,82,78,58
"513","M","A","L",73,53,27,39,51
"514","M","A","L",12,47,88,36,49
"515","M","A","L",20,52,80,61,51
"516","M","A","L",10,3,90,68,35
"517","M","A","L",9,41,91,54,47
"518","M","A","L",43,55,57,57,52
"519","M","A","L",37,65,63,49,55
"520","M","A","L",99,87,1,7,62
"521","M","A","L",46,4,54,3,34
"522","M","A","L",31,99,69,34,66
"523","M","A","L",52,91,48,57,64
"524","M","A","L",17,64,83,76,55
"525","M","A","L",41,57,59,57,52
"526","M","A","L",5,48,95,76,50
"527","M","A","L",48,94,52,52,65
"528","M","A","L",15,72,85,61,57
"529","M","A","L",71,8,29,26,36
"530","M","A","L",11,3,89,54,35
"531","M","A","L",76,81,24,55,60
"532","M","A","L",76,91,24,66,64
"533","M","A","L",91,93,9,29,64
"534","M","A","L",9,86,91,45,62
"535","M","A","L",60,5,40,2,35
"536","M","A","L",100,7,0,32,36
"537","M","A","L",66,96,34,69,65
"538","M","A","L",41,67,59,44,56
"539","M","A","L",13,2,87,2,34
"540","M","A","L",45,61,55,36,53
"541","M","A","L",28,30,72,38,43
"542","M","A","L",89,45,11,29,48
"543","M","A","L",5,4,95,43,35
"544","M","A","L",99,84,1,15,61
"545","M","A","L",15,65,85,6,55
"546","M","A","L",72,72,28,22,57
"547","M","A","L",2,65,98,15,55
"548","M","A","L",50,39,50,20,46
"549","M","A","L",96,1,4,22,34
"550","M","A","L",94,82,6,64,61
"551","M","A","L",11,26,89,75,42
"552","M","A","L",26,45,74,45,48
"553","M","A","L",42,65,58,7,55
"554","M","A","L",2,6,98,76,36
"555","M","A","L",12,78,88,48,59
"556","M","A","L",9,99,91,78,66
"557","M","A","L",100,52,0,3,50
"558","M","A","L",39,92,61,36,64
"559","M","A","L",5,82,95,33,60
"560","M","A","L",84,37,16,14,45
"561","M","A","L",59,17,41,77,39
"562","M","A","L",26,37,74,22,45
"563","M","A","L",2,57,98,55,52
"564","M","A","L",95,24,5,78,42
"565","M","A","L",36,32,64,74,44
"566","M","A","L",25,69,75,29,56
"567","M","A","L",93,43,7,2,47
"568","M","A","L",66,43,34,41,48
"569","M","A","L",87,57,13,29,52
"570","M","A","L",76,14,24,72,38
"571","M","A","L",5,1,95,66,34
"572","M","A","L",23,44,77,69,48
"573","M","A","L",14,51,86,35,50
"574","M","A","L",76,73,24,4,57
"575","M","A","L",94,19,6,53,40
"576","M","A","L",92,78,8,41,59
"577","M","A","L",78,88,22,78,63
"578","M","A","L",73,41,27,43,47
"579","M","A","L",2,78,98,2,59
"580","M","A","L",43,10,57,66,37
"581","M","A","L",2,43,98,33,48
"582","M","A","L",62,61,38,73,54
"583","M","A","L",39,52,61,48,51
"584","M","A","L",25,79,75,28,59
"585","M","A","L",82,55,18,5,51
"586","M","A","L",92,53,8,52,51
"587","M","A","L",67,2,33,36,34
"588","M","A","L",85,3,15,67,35
"589","M","A","L",55,15,45,59,39
"590","M","A","L",8,76,92,40,58
"591","M","A","L",49,31,51,27,44
"592","M","A","L",74,49,26,33,50
"593","M","A","L",14,67,86,27,55
"594","M","A","L",95,80,5,10,60
"595","M","A","L",70,29,30,53,43
"596","M","A","L",92,27,8,75,43
"597","M","A","L",27,81,73,27,60
"598","M","A","L",71,70,29,4,56
"599","M","A","L",15,43,85,54,48
"600","M","A","L",6,31,94,30,44
"601","M","A","L",19,4,81,27,35
"602","M","A","L",65,70,35,5,56
"603","M","A","L",72,55,28,38,52
"604","M","A","L",91,25,9,33,42
"605","M","A","L",78,50,22,37,50
"606","M","A","L",88,54,12,26,51
"607","M","A","L",72,24,28,61,42
"608","M","A","L",82,53,18,18,51
"609","M","A","L",92,9,8,23,36
"610","M","A","L",66,1,34,27,34
"611","M","A","L",45,76,55,79,59
"612","M","A","L",79,41,21,40,47
"613","M","A","L",54,17,46,76,39
"614","M","A","L",28,23,72,34,41
"615","M","A","L",24,91,76,3,63
"616","M","A","L",19,49,81,24,49
"617","M","A","L",63,15,37,47,38
"618","M","A","L",58,2,42,4,34
"619","M","A","L",76,5,24,46,35
"620","M","A","L",12,37,88,54,46
"621","M","A","L",56,23,44,11,41
"622","M","A","L",60,74,40,12,58
"623","M","A","L",84,85,16,76,62
"624","M","A","L",17,73,83,67,58
"625","M","A","L",9,48,91,72,50
"626","M","A","L",16,43,84,37,48
"627","M","A","L",0,29,100,13,43
"628","M","A","L",7,79,93,73,60
"629","M","A","L",70,40,30,4,46
"630","M","A","L",12,1,88,73,34
"631","M","A","L",83,89,17,31,63
"632","M","A","L",51,79,49,79,60
"633","M","A","L",95,84,5,73,61
"634","M","A","L",91,91,9,52,64
"635","M","A","L",34,36,66,45,45
"636","M","A","L",79,42,21,7,47
"637","M","A","L",12,40,88,21,46
"638","M","A","L",93,2,7,37,34
"639","M","A","L",19,21,81,63,41
"640","M","A","L",72,18,28,39,39
"641","M","A","L",29,42,71,61,47
"642","M","A","L",19,97,81,11,65
"643","M","A","L",67,53,33,6,51
"644","M","A","L",30,82,70,52,61
"645","M","A","L",14,34,86,15,44
"646","M","A","L",54,8,46,17,36
"647","M","A","L",74,38,26,31,46
"648","M","A","L",28,54,72,31,51
"649","M","A","L",82,75,18,77,59
"650","M","A","L",70,74,30,73,58
"651","M","A","L",70,5,30,54,35
"652","M","A","L",72,84,28,51,61
"653","M","A","L",87,30,13,37,43
"654","M","A","L",98,90,2,36,63
"655","M","A","L",32,88,68,32,62
"656","M","A","L",37,73,63,27,57
"657","M","A","L",70,15,30,44,38
"658","M","A","L",27,13,73,17,37
"659","M","A","L",43,37,57,1,45
"660","M","A","L",45,57,55,11,52
"661","M","A","L",73,85,27,27,61
"662","M","A","L",37,84,63,21,61
"663","M","A","L",34,52,66,65,51
"664","M","A","L",89,60,11,43,53
"665","M","A","L",40,22,60,54,41
"666","M","A","L",8,24,92,32,41
"667","M","A","L",5,27,95,40,42
"668","M","A","L",74,17,26,32,39
"669","M","A","L",1,19,99,49,40
"670","M","A","L",47,10,53,23,37
"671","M","A","L",30,28,70,39,43
"672","M","A","L",78,62,22,31,54
"673","M","A","L",33,17,67,23,39
"674","M","A","L",19,83,81,31,61
"675","M","A","L",17,92,83,25,64
"676","M","A","L",3,61,97,21,53
"677","M","A","L",73,96,27,0,65
"678","M","A","L",90,14,10,29,38
"679","M","A","L",48,79,52,9,59
"680","M","A","L",54,21,46,73,41
"681","M","A","L",28,84,72,44,61
"682","M","A","L",38,3,62,49,34
"683","M","A","L",21,1,79,40,34
"684","M","A","L",29,81,71,75,60
"685","M","A","L",71,42,29,72,48
"686","M","A","L",56,72,44,4,57
"687","M","A","L",30,63,70,75,55
"688","M","A","L",15,64,85,45,55
"689","M","A","L",77,50,23,44,50
"690","M","A","L",46,65,54,68,55
"691","M","A","L",48,68,52,56,56
"692","M","A","L",3,67,97,23,55
"693","M","A","L",26,8,74,14,36
"694","M","A","L",36,70,64,18,56
"695","M","A","L",39,26,61,40,42
"696","M","A","L",21,47,79,41,49
"697","M","A","L",83,47,17,34,49
"698","M","A","L",78,82,22,73,61
"699","M","A","L",81,4,19,63,35
"700","M","A","L",78,0,22,36,33
"701","M","A","L",53,74,47,61,58
"702","M","A","L",54,82,46,58,61
"703","M","A","L",23,53,77,77,51
"704","M","A","L",85,55,15,30,51
"705","M","A","L",84,99,16,25,66
"706","M","A","L",62,44,38,64,48
"707","M","A","L",58,4,42,70,35
"708","M","A","L",31,60,69,15,53
"709","M","A","L",96,69,4,39,56
"710","M","A","L",81,93,19,71,64
"711","M","A","L",58,23,42,4,41
"712","M","A","L",62,22,38,39,41
"713","M","A","L",12,11,88,20,37
"714","M","A","L",60,88,40,67,63
"715","M","A","L",9,66,91,74,56
"716","M","A","L",32,34,68,66,45
"717","M","A","L",87,84,13,22,61
"718","M","A","L",66,60,34,72,54
"719","M","A","L",47,25,53,77,42
"720","M","A","L",99,20,1,57,40
"721","M","A","L",32,66,68,9,55
"722","M","A","L",68,24,32,10,41
"723","M","A","L",37,55,63,70,52
"724","M","A","L",95,40,5,26,46
"725","M","A","L",4,92,96,70,64
"726","M","A","L",49,23,51,37,41
"727","M","A","L",6,73,94,58,58
"728","M","A","L",7,52,93,65,51
"729","M","A","L",28,13,72,74,38
"730","M","A","L",51,85,49,46,62
"731","M","A","L",60,1,40,26,34
"732","M","A","L",64,76,36,12,58
"733","M","A","L",97,65,3,56,55
"734","M","A","L",32,59,68,12,53
